State ID,State,Abbrev,Population,Exports,Imports,Balance,Amount Approved,Amount Executed,Percentage,Executed Percentage,Quarterly Income,Expense,Workforce,Workforce Total,Percentage_WF,GINI
1,Aguascalientes,AG,1425607,7522296511,4595755180,2926541331,41047126152,41951018547,0.664566501,102.2020845,22908814000,13911263000,215139,560487,38.38429794,0.395063013
2,Baja California Norte,BC,3769020,43039480683,36513481794,6525998889,1.07839E+11,1.0897E+11,1.745944747,101.0492272,78056831000,42650989000,625293,1655503,37.77057486,0.421191007
3,Baja California Sur,BS,798447,184701056,143513967,41187089,39731579696,38695146780,0.643267371,97.39141276,15998254000,8917650000,153596,402541,38.15661013,0.431385994
4,Campeche,CM,928363,125884196,107125005,18759191,2.0847E+11,1.67001E+11,3.37520402,80.10794649,12310165000,7437307000,257420,421925,61.01084316,0.468225002
5,Coahuila,CO,3146771,21277750697,10589025031,10688725666,1.00213E+11,99511744991,1.622474432,99.30066806,50836411000,29525340000,485305,1323218,36.67611837,0.392816991
6,Colima,CL,731391,223468205,565423063,-341954858,40796754424,42196687566,0.660512901,103.4314817,13103783000,8076056000,178790,357550,50.00419522,0.401528001
7,Chiapas,CS,5543828,185808956,82823136,102985820,1.24637E+11,1.386E+11,2.017918457,111.2028272,41844440000,27906934000,1566561,2049777,76.42592341,0.469439
8,Chihuahua,CH,3741869,56820008476,49992976512,6827031964,1.0748E+11,1.17628E+11,1.740141526,109.4412032,68632975000,31719734000,632889,1698954,37.25168545,0.442081004
9,Ciudad de México,CX,9209944,97643935169,1.08137E+11,-10492738707,2.73909E+12,2.73625E+12,44.34673556,99.89627148,1.83997E+11,1.03178E+11,1728712,3674287,47.04891044,0.446776986
10,Durango,DG,1832650,2085171298,1742901134,342270164,59792026757,59830097534,0.96805262,100.063672,25478305000,14631781000,396714,759913,52.20518665,0.452100992
11,Guanajuato,GT,6166934,13427276799,11535734625,1891542174,1.3859E+11,1.43013E+11,2.243817271,103.1915508,78689614000,46072886000,1382257,2517241,54.91158773,0.385610998
12,Guerrero,GR,3540685,10099693,11888249,-1788556,96264327241,1.02733E+11,1.558551186,106.7192949,31124126000,20910757000,1179831,1526519,77.28898232,0.445324004
13,Hidalgo,HG,3082841,990777097,811928030,178849067,86288776299,91876324048,1.397043729,106.475405,34974843000,21446949000,897496,1242503,72.23290407,0.401286989
14,Jalisco,JC,8348151,25695333945,27166733739,-1471399794,2.03896E+11,2.02694E+11,3.301145494,99.41021405,1.31178E+11,82877019000,1720856,3654530,47.08829863,0.388433993
15,Estado de México,EM,16992418,10274866195,19380924826,-9106058631,3.50871E+11,3.6538E+11,5.680710548,104.1353703,2.32776E+11,1.42907E+11,3993392,7306881,54.65248442,0.454032987
16,Michoacán,MI,4748846,5157053092,1396912761,3760140331,1.01397E+11,1.09455E+11,1.641655565,107.9465356,61171681000,42548360000,1262488,1893828,66.66328727,0.404522002
17,Morelos,MO,1971520,1334029218,1224714062,109315156,55292278709,55760094692,0.895200216,100.8460783,24557735000,15642088000,553507,858013,64.51032793,0.415621012
18,Nayarit,,1235456,190262490,17692711,172569779,35023426832,38057517160,0.567040824,108.663031,19362267000,11784860000,373611,655994,56.95341726,0.407633007
19,Nuevo León,NL,5784442,41447138116,37809404219,3637733897,1.88272E+11,1.83109E+11,3.048179814,97.25813769,1.24629E+11,62629317000,876907,2464849,35.57649982,0.454962999
20,Oaxaca,OA,4132148,163513899,68228463,95285436,1.1456E+11,1.20263E+11,1.854766224,104.9776799,41346872000,24723790000,1451165,1848733,78.49510989,0.453175008
21,Puebla,PU,6583278,15247470172,9886920299,5360549873,1.33952E+11,1.37624E+11,2.168721747,102.741777,69359855000,45804738000,2006612,2722704,73.69923429,0.438591987
22,Querétaro,QT,2368467,10569649289,13130177553,-2560528264,59067480164,62181008133,0.956321972,105.2711373,40669907000,24469361000,377957,883081,42.79981112,0.421353012
23,Quintana Roo,QO,1857985,118684978,268288496,-149603518,40563197079,44751173621,0.65673153,110.3245721,26036094000,16417534000,395666,774198,51.10656447,0.462280989
24,San Luis Potosí,SL,2822255,8802070297,6886072971,1915997326,80264433753,85607295596,1.299507637,106.6565745,36694564000,22009510000,677270,1219918,55.51766594,0.439792007
25,Sinaloa,SI,3026943,3673897802,1758717017,1915180785,88832394122,98261975679,1.43822574,110.6150258,48810571000,29821107000,600835,1289194,46.60547598,0.395518988
26,Sonora,SO,2944840,13399028484,8533354163,4865674321,99391205558,1.02644E+11,1.609176377,103.2728155,54224775000,28992974000,638931,1405934,45.4453054,0.442458987
27,Tabasco,TB,2402598,125296523,307948147,-182651624,1.90067E+11,1.56705E+11,3.077247743,82.4469862,28729646000,15724599000,578334,901516,64.15127408,0.45570901
28,Tamaulipas,TM,3527735,25146894542,21190183929,3956710613,1.36711E+11,1.50149E+11,2.213394318,109.8293782,52392960000,29648664000,742049,1631206,45.4908209,0.425994009
29,Tlaxcala,TL,1342977,1014983368,908880279,106103089,30475039162,32776190456,0.493400928,107.5509379,12990067000,8239651000,416377,578431,71.9838667,0.394652992
30,Veracruz,VE,8062579,2743996021,2172558917,571437104,2.68326E+11,2.74877E+11,4.344289203,102.4414041,83922492000,56351396000,2238354,3285137,68.13578855,0.419578999
31,Yucatán,YU,2320898,1066625934,1648872158,-582246224,68286643651,75351870328,1.105583268,110.3464254,31372050000,19521299000,616811,1091701,56.49999405,0.465440989
32,Zacatecas,ZA,1622138,2050655536,589182594,1461472942,41041198516,44151180884,0.664470531,107.5777084,20360258000,12782054000,424768,675163,62.91340017,0.449434012
